taxonomy_version,ticker,layer,subindustry,report_group_status,is_primary,role_weight,notes
DC_TAXONOMY_FULL_V2_1,FCX,Upstream materials,Copper,EXTENDED,1,1.0,v2.1_review: commodity/material input exposure; relevant but not datacenter-specific
DC_TAXONOMY_FULL_V2_1,SCCO,Upstream materials,Copper,EXTENDED,1,1.0,v2.1_review: commodity/material input exposure; relevant but not datacenter-specific
DC_TAXONOMY_FULL_V2_1,TECK,Upstream materials,Copper,EXTENDED,1,1.0,v2.1_review: commodity/material input exposure; relevant but not datacenter-specific
DC_TAXONOMY_FULL_V2_1,BHP,Upstream materials,Copper,EXTENDED,1,1.0,v2.1_review: commodity/material input exposure; relevant but not datacenter-specific
DC_TAXONOMY_FULL_V2_1,RIO,Upstream materials,Copper,EXTENDED,1,1.0,v2.1_review: commodity/material input exposure; relevant but not datacenter-specific
DC_TAXONOMY_FULL_V2_1,HBM,Upstream materials,Copper,EXTENDED,1,1.0,v2.1_review: commodity/material input exposure; relevant but not datacenter-specific
DC_TAXONOMY_FULL_V2_1,ERO,Upstream materials,Copper,EXTENDED,1,1.0,v2.1_review: commodity/material input exposure; relevant but not datacenter-specific
DC_TAXONOMY_FULL_V2_1,PAAS,Upstream materials,Silver,EXTENDED,1,1.0,v2.1_review: commodity/material input exposure; relevant but not datacenter-specific
DC_TAXONOMY_FULL_V2_1,HL,Upstream materials,Silver,EXTENDED,1,1.0,v2.1_review: commodity/material input exposure; relevant but not datacenter-specific
DC_TAXONOMY_FULL_V2_1,CDE,Upstream materials,Silver,EXTENDED,1,1.0,v2.1_review: commodity/material input exposure; relevant but not datacenter-specific
DC_TAXONOMY_FULL_V2_1,AG,Upstream materials,Silver,EXTENDED,1,1.0,v2.1_review: commodity/material input exposure; relevant but not datacenter-specific
DC_TAXONOMY_FULL_V2_1,WPM,Upstream materials,Silver,EXTENDED,1,1.0,v2.1_review: commodity/material input exposure; relevant but not datacenter-specific
DC_TAXONOMY_FULL_V2_1,GLW,Upstream materials,Glass / optical materials / specialty glass,CORE,1,1.0,v2.1_review: direct optical glass/photonic materials or optical platform exposure for data/AI connectivity
DC_TAXONOMY_FULL_V2_1,COHR,Upstream materials,Glass / optical materials / specialty glass,CORE,1,1.0,v2.1_review: direct optical glass/photonic materials or optical platform exposure for data/AI connectivity
DC_TAXONOMY_FULL_V2_1,FN,Upstream materials,Glass / optical materials / specialty glass,CORE,1,1.0,v2.1_review: direct optical glass/photonic materials or optical platform exposure for data/AI connectivity
DC_TAXONOMY_FULL_V2_1,APD,Upstream materials,Glass / optical materials / specialty glass,EXTENDED,1,1.0,v2.1_review: materials/gases/substrates exposure is relevant but diversified or indirect
DC_TAXONOMY_FULL_V2_1,ATI,Upstream materials,Glass / optical materials / specialty glass,EXTENDED,1,1.0,v2.1_review: materials/gases/substrates exposure is relevant but diversified or indirect
DC_TAXONOMY_FULL_V2_1,AXTI,Upstream materials,Glass / optical materials / specialty glass,EXTENDED,1,1.0,v2.1_review: materials/gases/substrates exposure is relevant but diversified or indirect
DC_TAXONOMY_FULL_V2_1,LIN,Upstream materials,Glass / optical materials / specialty glass,EXTENDED,1,1.0,v2.1_review: materials/gases/substrates exposure is relevant but diversified or indirect
DC_TAXONOMY_FULL_V2_1,AA,Upstream materials,Aluminum and steel,EXTENDED,1,1.0,v2.1_review: commodity/material input exposure; relevant but not datacenter-specific
DC_TAXONOMY_FULL_V2_1,MT,Upstream materials,Aluminum and steel,EXTENDED,1,1.0,v2.1_review: commodity/material input exposure; relevant but not datacenter-specific
DC_TAXONOMY_FULL_V2_1,NUE,Upstream materials,Aluminum and steel,EXTENDED,1,1.0,v2.1_review: commodity/material input exposure; relevant but not datacenter-specific
DC_TAXONOMY_FULL_V2_1,STLD,Upstream materials,Aluminum and steel,EXTENDED,1,1.0,v2.1_review: commodity/material input exposure; relevant but not datacenter-specific
DC_TAXONOMY_FULL_V2_1,PKX,Upstream materials,Aluminum and steel,EXTENDED,1,1.0,v2.1_review: commodity/material input exposure; relevant but not datacenter-specific
DC_TAXONOMY_FULL_V2_1,CENX,Upstream materials,Aluminum and steel,EXTENDED,1,1.0,v2.1_review: commodity/material input exposure; relevant but not datacenter-specific
DC_TAXONOMY_FULL_V2_1,MP,Upstream materials,Specialty metals,EXTENDED,1,1.0,v2.1_review: specialty metals/minerals input exposure; relevant but indirect
DC_TAXONOMY_FULL_V2_1,UUUU,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,"v2.1_review: speculative or nuclear/materials adjacency; monitor separately, not a clean datacenter operating proxy"
DC_TAXONOMY_FULL_V2_1,NB,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,"v2.1_review: speculative or nuclear/materials adjacency; monitor separately, not a clean datacenter operating proxy"
DC_TAXONOMY_FULL_V2_1,IPX,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,"v2.1_review: speculative or nuclear/materials adjacency; monitor separately, not a clean datacenter operating proxy"
DC_TAXONOMY_FULL_V2_1,USAR,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,"v2.1_review: speculative or nuclear/materials adjacency; monitor separately, not a clean datacenter operating proxy"
DC_TAXONOMY_FULL_V2_1,ATI,Upstream materials,Specialty metals,EXTENDED,0,1.0,v2.1_review: specialty metals/minerals input exposure; relevant but indirect
DC_TAXONOMY_FULL_V2_1,HWM,Upstream materials,Specialty metals,EXTENDED,1,1.0,v2.1_review: specialty metals/minerals input exposure; relevant but indirect
DC_TAXONOMY_FULL_V2_1,CRS,Upstream materials,Specialty metals,EXTENDED,1,1.0,v2.1_review: specialty metals/minerals input exposure; relevant but indirect
DC_TAXONOMY_FULL_V2_1,ALOY,Upstream materials,Specialty metals,EXTENDED,1,1.0,v2.1_review: specialty metals/minerals input exposure; relevant but indirect
